RowID,motion,ind.production,biomass.prod.N,biomass.prod.P,biomass.prod.C,res.inflow,N.types,P.types,C.types,max.res.val,max.growth.rate,max.met.maint,max.active.dispersal,barriers,logseries.a,starting.seed,flow.rate,width,height,viscosity,total.abundance,immigration.rate,resource.tau,particle.tau,individual.tau,resource.concentration,shannons.resource.diversity,resource.richness,species.richness,simpson.e,e.var,berger.parker,inv.simp.D,N.max,skew,tracer.particles,resource.particles,speciation,Whittakers.turnover,Jaccards.dissimilarity,Sorensens.dissimilarity,avg.per.capita.growth,avg.per.capita.maint,avg.per.capita.N.efficiency,avg.per.capita.P.efficiency,avg.per.capita.C.efficiency,avg.per.capita.active.dispersal,amplitude,flux,frequency,phase,disturbance
325,'fluid',36.619999999999997,2.6002529418708717,2.4318305454038751,2.768190180197315,200,4,8,2,100,0.7711045657771504,0.006901931683137671,0.6991947410612439,1,0.9960684150495799,100,0.20000000000000001,160,10,10,6178,0.01,79.64950039082008,147.70463917525774,168.23520827768695,1.13984375,2.4767682199999999,14.0,1.49,0.75611300000000004,0.54131477360459135,0.98008035910660907,0.0022072355481334706,4624.4099999999999,0.0,45,1581,0.075,0.0067340067340067328,0.010101010101010102,0.0067340067340067346,0.57072744925814833,0.0012419132272858346,0.56942901984282068,0.42482636349113656,0.70021472785827543,0.16024084807301273,0.05,'yes',0.1,0,0.0001
328,'random_walk',1.75,0.1726816332949857,0.10425036481743603,0.12505720681215379,500,10,6,9,12000,0.7092120719360906,0.00532423784718961,0.3600733546106609,3,0.9917516637857852,100,0.5,20,20,10,267,0.005,0.72176852215086607,26.643878039338574,76.249530909349176,0.22197499999999995,2.8141910800000001,20.309999999999999,3.04,0.705067,0.5701500172900974,0.61474663949216346,0.49739684844234833,103.98,0.17717389721546495,16,11,0.005,0.0074715408048741366,0.012962962962962963,0.00747154080487414,0.28094286269344976,0.00088145841026595608,0.54910032378206064,0.52931395231284584,0.47245029223029961,0.24842575764482078,0.05,'yes',0.06,5,0.001
329,'fluid',-0.13,-0.039115667561896467,-0.031567701151054527,-0.044595766728503114,500,10,3,4,200,0.16733058236183573,0.008533662911143367,0.35624816182737684,2,0.9917409104996537,100,0.10000000000000001,160,5,10,0,0.5,62.731076489695532,nan,27.893720853782337,4.6535874999999995,2.6929953699999998,17.0,1.7582417582417582,0.94950365853658547,0.95410882766997274,0.72528904022806462,0.35663512748908172,3.8780487804878048,0.01001622346723877,20,4810,0.05,0.034567901234567898,0.047325102880658436,0.034567901234567898,0.061246583496477901,0.0041788060136059594,0.5270755051863637,0.53294416420367285,0.53681164625557987,0.21896405982832481,0.4,'yes',0.06,8,0.01
333,'fluid',-0.91000000000000003,-0.11932527164590842,-0.15325218315325881,-0.10323732391568824,100,9,2,10,1600,0.37984371609805634,0.008392821234192292,0.5624659734631297,0,0.9967221576223,100,0.10000000000000001,10,5,10,141,0.1,27.595996864693607,34.727558608058601,167.24872047491303,2.0628000000000002,2.7190899900000001,20.420000000000002,1.4199999999999999,0.79327999999999999,0.62418517659034745,0.99212775703943878,0.0064415784329348632,271.55000000000001,0.0,1,122,0.01,0.010101010101010098,0.015151515151515152,0.010101010101010102,0.26530872529844868,0.0027717683153113421,0.41680960698324454,0.89785750380266227,0.46899313337091397,0.35691426411154448,0.5,'yes',0.01,13,0.005
337,'fluid',7.7300000000000004,1.3197053941877512,1.1948794343869305,1.0208182433527362,100,4,1,6,400,0.5625948370916026,0.002352665683829383,0.0457121386691748,3,0.9907670989988318,100,0.69999999999999996,80,5,10,31,0.01,13.64378660916703,49.763895321037673,80.996416086866162,3.4792999999999994,2.1491385599999999,11.0,2.0108108108108107,0.77326000000000006,0.73299729107199296,0.95434703267359988,0.16110364703289426,174.49411764705883,0.39783925474921755,47,1837,0.001,0.023275401846830416,0.030867346938775513,0.023275401846830419,0.50667732491167838,0.00031483494003928535,0.4815905425947401,0.47062697230248696,0.48533315216740552,0.022483777633059858,0.1,'yes',0.04,5,5e-05
338,'fluid',3.46,0.3804951910602215,0.31209645213149961,0.40272203936605827,400,7,8,8,1600,0.420011164112276,0.0017953283281733196,0.7566814581589782,3,0.9926150177395249,100,0.10000000000000001,80,40,10,343,0.005,70.080712432089072,198.0,88.043257453610082,0.99278124999999984,3.12671016,23.0,1.02,0.99104999999999999,0.98550388002263845,0.96171602501811837,0.0018999999999999996,109.69,0.0,26,3856,0.01,0.0033670033670033664,0.0050505050505050509,0.0033670033670033673,0.3096149402756993,0.0010074604248297542,0.51318796688102974,0.49279829211418019,0.40923426921680828,0.22435747910920917,0.05,'yes',0.06,2,0.05
344,'fluid',-0.16,0.0045536488748343408,-0.050004887733453567,0.0041729568330222209,50,10,8,7,100,0.8163732447699957,0.003973889915293349,0.9949464473533531,1,0.9952065246330554,100,0.90000000000000002,10,40,10,18,0.001,5.2437852992713552,5.622156096392529,54.740410274896483,0.24840000000000004,3.0801323199999997,24.57,2.5499999999999998,0.76295299999999999,0.73778494587212828,0.75658169491521843,0.33802222448390629,31.789999999999999,0.33993752298643398,5,90,0.075,0.0068302068302068288,0.010942760942760945,0.0068302068302068305,0.52361396155389539,0.00088383101461001108,0.40701876816247418,0.74318628265668862,0.53478786236628961,0.85787891408845429,0.05,'yes',0.06,16,5e-05
349,'random_walk',0.23000000000000001,0.02726221929248529,0.034429141838206452,0.047415437690632202,200,3,8,1,6400,0.8659467831462743,0.004054249474763733,0.3210713228338419,1,0.997219049185549,100,0.59999999999999998,20,20,10,0,0.005,1.2034756678650778,20.206397685558862,37.881565400019483,0.16380000000000003,1.9061199299999998,9.9100000000000001,1.5212765957446808,0.91448977272727283,0.91000969243887109,0.80022202300560541,0.25518337318321715,8.704545454545455,0.0,6,0,0.01,0.0076628352490421435,0.011494252873563218,0.0076628352490421461,0.67834104832866071,0.00053433885599998051,0.38576973439796647,0.64854278239929153,0.49895343578037549,0.25558388512225155,0.05,'yes',0.02,16,0.0005
350,'fluid',-6.3600000000000003,-0.22502036545611021,-0.083352455737834397,-0.17348204228522179,400,7,1,7,400,0.21822714954539604,0.001045209646792911,0.5986680600530019,4,0.9946698658698301,100,0.074999999999999997,20,40,10,1286,0.005,59.522832771354295,136.143,183.56232703895287,1.3645124999999998,2.3986497899999999,15.0,6.0,0.43858200000000003,0.15907599401186989,0.48504121496189179,0.61835426239757074,899.20000000000005,0.78296292560878167,10,1145,0.05,0.0,0.0,0.0,0.13721718726027743,0.00032259498063622543,0.53414985373922763,0.66374168671507805,0.34293155062922359,0.2650534469581482,0.05,'yes',0.04,3,0.01
351,'random_walk',-0.029999999999999999,-0.0021938370913657549,0.0036167329517719738,-0.0090755569871057776,500,2,7,1,100,0.6506809518651713,0.006443471843327165,0.8136804714315926,0,0.995708693082826,100,0.10000000000000001,20,40,10,4,0.1,16.478692749975504,nan,66.208354241387738,0.54960000000000009,1.9452140600000001,10.0,1.29,0.89589799999999997,0.85180554287633359,0.98918614881850175,0.059782206263649836,7.5,0.0,22,729,0.001,0.0067340067340067328,0.010101010101010102,0.0067340067340067346,0.46472633014887443,0.00072060433528220859,0.69022401611676254,0.5091087593243413,0.16398648303074403,0.61439206637387456,0.4,'yes',0.02,12,5e-05
